info @storybook/react v6.4.0
info 
info => Cleaning outputDir: /var/folders/r5/ljz0ppks0q74wsy4jpbdlmzc0000gn/T/chromatic--95838-L8AIr9HU2S73
info => Loading presets
info => Compiling manager..
info => Compiling preview..
info => Loading Webpack configuration from `node_modules/react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack4 setup
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/core-server/node_modules/@storybook/core-client/dist/esm/globals/polyfills.js /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/core-server/node_modules/@storybook/core-client/dist/esm/globals/globals.js /Users/Kira/Desktop/Git/taskbox/storybook-init-framework-entry.js /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/common/config.js-generated-config-entry.js /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/config.js-generated-config-entry.js /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/react/dist/esm/client/preview/config-generated-config-entry.js /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/addon-links/dist/esm/preset/addDecorator.js-generated-config-entry.js /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addDecorator.js-generated-config-entry.js /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/addon-actions/dist/esm/preset/addArgs.js-generated-config-entry.js /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addDecorator.js-generated-config-entry.js /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/addon-backgrounds/dist/esm/preset/addParameter.js-generated-config-entry.js /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/addon-measure/dist/esm/preset/addDecorator.js-generated-config-entry.js /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/addon-outline/dist/esm/preset/addDecorator.js-generated-config-entry.js /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/addon-interactions/dist/esm/preset/argsEnhancers.js-generated-config-entry.js /Users/Kira/Desktop/Git/taskbox/.storybook/preview.js-generated-config-entry.js /Users/Kira/Desktop/Git/taskbox/generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 14% building 34/44 modules 10 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/extractArgTypes.js
<s> [webpack.Progress] 14% building 34/45 modules 11 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/addon-docs/dist/esm/frameworks/react/jsxDecorator.js
<s> [webpack.Progress] 14% building 34/46 modules 12 active /Users/Kira/Desktop/Git/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 35/46 modules 11 active /Users/Kira/Desktop/Git/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 36/46 modules 10 active /Users/Kira/Desktop/Git/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 37/46 modules 9 active /Users/Kira/Desktop/Git/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 38/46 modules 8 active /Users/Kira/Desktop/Git/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 39/46 modules 7 active /Users/Kira/Desktop/Git/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 40/46 modules 6 active /Users/Kira/Desktop/Git/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 14% building 41/46 modules 5 active /Users/Kira/Desktop/Git/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 15% building 42/46 modules 4 active /Users/Kira/Desktop/Git/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 15% building 43/46 modules 3 active /Users/Kira/Desktop/Git/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 15% building 44/46 modules 2 active /Users/Kira/Desktop/Git/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 15% building 45/46 modules 1 active /Users/Kira/Desktop/Git/taskbox/node_modules/webpack/buildin/harmony-module.js
<s> [webpack.Progress] 15% building 46/46 modules 0 active 
<s> [webpack.Progress] 15% building 46/47 modules 1 active /Users/Kira/Desktop/Git/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/Kira/Desktop/Git/taskbox/src/components/TaskList.js
<s> [webpack.Progress] 15% building 46/48 modules 2 active /Users/Kira/Desktop/Git/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/Kira/Desktop/Git/taskbox/src/components/InboxScreen.js
<s> [webpack.Progress] 15% building 46/49 modules 3 active /Users/Kira/Desktop/Git/taskbox/node_modules/react-scripts/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/Kira/Desktop/Git/taskbox/src/components/Task.js
<s> [webpack.Progress] 15% building 46/50 modules 4 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.object.entries.js
<s> [webpack.Progress] 15% building 46/51 modules 5 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.symbol.js
<s> [webpack.Progress] 15% building 46/52 modules 6 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.symbol.description.js
<s> [webpack.Progress] 15% building 46/53 modules 7 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.object.to-string.js
<s> [webpack.Progress] 15% building 46/54 modules 8 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.symbol.iterator.js
<s> [webpack.Progress] 15% building 46/55 modules 9 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.string.iterator.js
<s> [webpack.Progress] 15% building 46/56 modules 10 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.array.iterator.js
<s> [webpack.Progress] 15% building 46/57 modules 11 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/web.dom-collections.iterator.js
<s> [webpack.Progress] 15% building 46/58 modules 12 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.array.slice.js
<s> [webpack.Progress] 15% building 46/59 modules 13 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.function.name.js
<s> [webpack.Progress] 15% building 46/60 modules 14 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.array.from.js
<s> [webpack.Progress] 15% building 46/61 modules 15 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.regexp.constructor.js
<s> [webpack.Progress] 15% building 46/62 modules 16 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.regexp.exec.js
<s> [webpack.Progress] 15% building 46/63 modules 17 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.regexp.to-string.js
<s> [webpack.Progress] 15% building 46/64 modules 18 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.array.filter.js
<s> [webpack.Progress] 15% building 46/65 modules 19 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/react/dist/esm/client/preview/render.js
<s> [webpack.Progress] 15% building 46/66 modules 20 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/react/dist/esm/client/preview/types-6-3.js
<s> [webpack.Progress] 15% building 46/67 modules 21 active /Users/Kira/Desktop/Git/taskbox/node_modules/regenerator-runtime/runtime.js
<s> [webpack.Progress] 15% building 46/68 modules 22 active /Users/Kira/Desktop/Git/taskbox/node_modules/core-js/modules/es.promise.js
<s> [webpack.Progress] 15% building 46/69 modules 23 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
<s> [webpack.Progress] 15% building 47/69 modules 22 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
<s> [webpack.Progress] 15% building 48/69 modules 21 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
<s> [webpack.Progress] 15% building 49/69 modules 20 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
<s> [webpack.Progress] 16% building 50/69 modules 19 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
<s> [webpack.Progress] 16% building 51/69 modules 18 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
<s> [webpack.Progress] 16% building 52/69 modules 17 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
<s> [webpack.Progress] 16% building 53/69 modules 16 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
<s> [webpack.Progress] 16% building 54/69 modules 15 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
<s> [webpack.Progress] 16% building 55/69 modules 14 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
<s> [webpack.Progress] 16% building 56/69 modules 13 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
<s> [webpack.Progress] 16% building 57/69 modules 12 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
<s> [webpack.Progress] 16% building 58/69 modules 11 active /Users/Kira/Desktop/Git/taskbox/node_modules/@storybook/client-logger/dist/esm/index.js
